question,correct_ans
What is the capital of Australia?,Canberra
Who painted the Starry Night?,Vincent van Gogh
What is the symbol for the chemical element sodium?,Na
Who wrote the novel "Pride and Prejudice"?,Jane Austen
What is the smallest planet in our solar system?,Mercury
Who is the author of the Lord of the Rings book series?,J.R.R. Tolkien
What is the square root of 81?,9
In which country is the Great Wall located?,China
Who is the current Prime Minister of the United Kingdom?,Boris Johnson
What is the chemical formula for carbon dioxide?,CO2
Which animal is known as the "King of the Beasts"?,Lion
What is the deepest ocean in the world?,Pacific Ocean
Who invented the theory of relativity?,Albert Einstein
What is the official language of Japan?,Japanese
Who painted the Last Supper?,Leonardo da Vinci
